CS:GO BELCHONOKK,NEMG vs 500, Mon 10:00AM,36.5 Kills on Map 1+2
CS:GO BELCHONOKK,NEMG vs 500, Mon 10:00AM,17.0 Headshots on Maps 1+2
CS:GO sAvana1,SAMP @ iNAT, Mon 1:00PM,32.5 Kills on Map 1+2
CS:GO sAvana1,SAMP @ iNAT, Mon 1:00PM,17.5 Headshots on Maps 1+2
CS:GO T4gg3D,SAMP @ iNAT, Mon 1:00PM,35.0 Kills on Map 1+2
CS:GO T4gg3D,SAMP @ iNAT, Mon 1:00PM,18.0 Headshots on Maps 1+2
CS:GO The eLiVe,SAMP @ iNAT, Mon 1:00PM,31.5 Kills on Map 1+2
CS:GO The eLiVe,SAMP @ iNAT, Mon 1:00PM,16.5 Headshots on Maps 1+2
CS:GO MATYS,SAMP @ iNAT, Mon 1:00PM,44.5 Kills on Map 1+2
CS:GO MATYS,SAMP @ iNAT, Mon 1:00PM,27.5 Headshots on Maps 1+2
CS:GO fino,SAMP @ iNAT, Mon 1:00PM,38.0 Kills on Map 1+2
CS:GO fino,SAMP @ iNAT, Mon 1:00PM,10.5 Headshots on Maps 1+2
CS:GO Impulse,iNAT vs SAMP, Mon 1:00PM,33.5 Kills on Map 1+2
CS:GO Impulse,iNAT vs SAMP, Mon 1:00PM,10.5 Headshots on Maps 1+2
CS:GO DiMKE,iNAT vs SAMP, Mon 1:00PM,35.0 Kills on Map 1+2
CS:GO DiMKE,iNAT vs SAMP, Mon 1:00PM,17.5 Headshots on Maps 1+2
CS:GO Dragon,iNAT vs SAMP, Mon 1:00PM,32.5 Kills on Map 1+2
CS:GO Dragon,iNAT vs SAMP, Mon 1:00PM,17.0 Headshots on Maps 1+2
CS:GO VLDN,iNAT vs SAMP, Mon 1:00PM,34.0 Kills on Map 1+2
CS:GO VLDN,iNAT vs SAMP, Mon 1:00PM,18.0 Headshots on Maps 1+2
CS:GO Kind0,iNAT vs SAMP, Mon 1:00PM,34.5 Kills on Map 1+2
CS:GO Kind0,iNAT vs SAMP, Mon 1:00PM,16.0 Headshots on Maps 1+2
Camilo Vargas,ATS @ TFC, 7:30PM,2.5 Saves
Diego Urtiaga,ASL @ NYR, 7:30PM,3.5 Saves
Yohei Takaoka,VAN @ LAG, 10:30PM,3.0 Saves
Nahuel Guzmán,TUA @ SJE, 11:00PM,3.0 Saves
Esteban Andrada,MNT @ SEA, 9:00PM,3.0 Saves
Vitinho,ASL @ NYR, 7:30PM,1.5 Shots Attempted
Jordy Caicedo,ATS @ TFC, 7:30PM,1.5 Shots Attempted
